START,END,SPEAKER,TEXT
00:00:01:37,00:00:14:81,Maurice Vanderfeesten,"Welkom bij UB 2030, de podcast over de universiteitsbibliotheek die moet innoveren vanwege de snel veranderende technologische ontwikkelingen en de veranderingen in het landschap binnen onderzoek en onderwijs. Ik ben Maurice Vanderfeesten."
00:00:16:29,00:00:19:20,David Oldenhof,Ik ben David Oldenhof. Vandaag gaan we praten over de toekomst van onderwijsondersteuning.
00:00:19:45,00:00:34:75,Maurice Vanderfeesten,Hoe ziet het ideale plaatje voor onderwijsondersteuning eruit in 2030 en wat zijn de factoren die verandering teweegbrengen vandaag de dag? Is het de erfenis uit het verleden die verandering moeilijk maakt? Wat is er nodig om daar te komen?
00:00:36:36,00:00:42:11,David Oldenhof,"Dit bespreken we met onze gasten: Cees van Gent, hoofd onderwijsondersteuning bij de universiteitsbibliotheek van de VU."
00:00:42:45,00:00:47:84,Maurice Vanderfeesten,"En Rens van der Vorst, technofilosoof en docent ICT en Engineering aan de Fontys Hogeschool."
00:00:51:16,00:00:54:22,David Oldenhof,We beginnen met Rens. Wat doet een technofilosoof?
00:00:56:50,00:01:02:77,Rens van der Vorst,Die denkt heel de dag na over de impact van technologie. Dat is lekker belangrijk.
00:01:05:94,00:01:09:91,David Oldenhof,Wat doe je dan bijvoorbeeld? Waar denk je dan over na op dit moment?
00:01:10:44,00:01:38:16,Rens van der Vorst,"Uiteindelijk gaat het om de kernvraag: maakt technologie ons leven beter en hoe zorgen we ervoor dat we allemaal betere mensen worden in een betere wereld met betere technologie en wat verstaan we dan precies onder beter? Het zijn makkelijke vragen, maar het is best lastig om daar antwoorden op te formuleren. Met de snelheid waarmee technologie zich ontwikkelt, wordt het alleen maar belangrijker om erover na te denken."
00:01:38:36,00:01:40:59,David Oldenhof,Wat bespreek je bijvoorbeeld met je studenten?
00:01:42:00,00:02:15:88,Rens van der Vorst,"Ik bespreek met de studenten bijvoorbeeld waarom data fantastisch zijn, maar alleen als je de tekortkomingen begrijpt, hoe AI in elkaar zit, hoe we ervoor kunnen zorgen dat de technologie ons betere mensen maakt, in plaats van dat wij ons als mensen steeds meer conformeren aan de wetten van de technologie. Dat doe ik meestal met allerlei echte challenges, echte opdrachten die de studenten aan het bouwen zijn, dingen die de studenten aan het doen zijn. Die worden dan tegen het licht gehouden. Dit is een nieuw soort framework meegeven aan die studenten om daar beter over te kunnen nadenken."
00:02:20:36,00:02:31:00,Maurice Vanderfeesten,Kun je een voorbeeld geven van hoe je die studenten uitdaagt? Welke opdrachten zijn dat dan precies? Kan je één opdracht geven waarvan je denkt: dit is heel interessant of daar ben ik trots op?
00:02:31:00,00:03:12:22,Rens van der Vorst,"Wat we gemaakt hebben met de studenten, is bijvoorbeeld dat we proberen een einde te maken aan de CAPTCHA. Dat ken je wel, dat je die plaatjes zo moet aanklikken en die verkeerslichten moet herkennen. Als je er heel goed over nadenkt, is het best onmenselijk, want je moet aan een robot bewijzen dat je geen robot bent door robotdingen te doen. Dat is belachelijk. Toen hebben wij nagedacht van: kunnen we niet iets bouwen waarbij je weliswaar moet bewijzen dat je geen robot bent, maar op een andere manier, namelijk dat je bewijst dat je mens bent? Dat is iets heel anders. We hebben een variant gebouwd die een beroep doet op menselijke eigenschappen, in dit geval humor. Die draait inmiddels. Dat soort dingen doen we dan."
00:03:14:77,00:03:28:47,Maurice Vanderfeesten,"Humor vind ik leuk. AI kan tegenwoordig ook emotie tonen. Op een gegeven moment moeten we daarbij weer een stapje voor zijn, maar het is een goed begin."
00:03:29:94,00:03:45:66,Rens van der Vorst,"Dat klopt. Als technologie steeds geavanceerder wordt, wordt het steeds belangrijker om te onderzoeken wat ons echt menselijk maakt, want pas als wij begrijpen wat ons menselijk maakt, kunnen we technologie bouwen die ons echt ondersteunt."
00:03:46:50,00:03:55:13,David Oldenhof,"Wat zijn jouw eyeopeningmomenten voor studenten, dat ze daarover hebben nagedacht?"
00:03:56:08,00:04:46:95,Rens van der Vorst,"Die zijn er heel veel. Je kunt bijvoorbeeld tegen de studenten zeggen: je kunt wel iets een klant vragen, maar klanten weten niets en gebruikers weten ook niets. Ze weten helemaal niets. Alleen zijn ze dat zo geleerd, van: je moet eerst empathizen, design thinking, met je klant empathizen en dan bouw je technologie en dan laat je dat aan die klant zien en wordt die klant er blij mee. Dat komt doordat je hem meegenomen hebt. Dat is het stockholmsyndroom, maar als je echt erover gaat nadenken, kom je er vanzelf achter dat die klant helemaal niet zo heel anders denkt en iets heel anders wil en dat hij vaak ook dingen wil die helemaal niet goed voor hem zijn. Hij wil bijvoorbeeld dat iets gemakkelijk wordt, maar gemakkelijk betekent ook vaak dat iets minder waardevol wordt. Uiteindelijk heeft hij dan niets. Je moet veel beter daarover leren nadenken en dat zit helemaal vol met eyeopeningmomenten. Je moet ze het nu en dan alleen een beetje onder hun neus wrijven, net als een puppy."
00:04:46:95,00:05:04:61,Maurice Vanderfeesten,"Daar ben ik benieuwd naar. We komen misschien straks terug op die methode, juist niet design thinking gaan doen voor het ontwikkelen van betere dienstverlening voor het onderwijs. Daar komen we misschien straks op terug."
00:05:04:82,00:05:10:10,Rens van der Vorst,"Nee, dat moet je vooral niet doen. Dat is goed."
00:05:10:10,00:05:19:14,Maurice Vanderfeesten,"Cees, kun jij dan misschien in twee zinnen uitleggen wat we verstaan onder waar jij het hoofd van bent, - onderwijsondersteuning - in de context van bibliotheken misschien?"
00:05:19:98,00:06:53:14,Cees van Gent,"De universiteitsbibliotheek van de VU heeft een afdeling die onderwijsondersteuning heet. Bij mijn beste weten is dit een van de weinige niet-geïntegreerde ondersteuningsdiensten binnen de academische instellingen. Meestal wordt onderwijsondersteuning wel gedaan bij andere instellingen, maar is het onderdeel van een andere afdeling. Bij ons is het vrij specifiek. Wij richten ons in ieder geval op het vinden, het helpen en het onderzoeken van content en hoe dat te gebruiken in het onderwijs. Dat is onze hoogste doelstelling. Content wordt ook wel eens onderwijsleermateriaal genoemd. Iedere instelling heeft een elektronische leeromgeving. Bij ons is dat Canvas. Wat plaats je allemaal in Canvas om de studenten verder te ontwikkelen en hoe plaats je dat in Canvas en wat gebruik je daarvoor? Dat is waar wij - in ieder geval Canvas bij de VU - mee bezig zijn. In het voorgesprek hadden we het even over het ondersteunen van studenten. Dat doen wij niet, maar uiteindelijk komt het altijd ten goede van de student. We zoeken naar mogelijkheden en oplossingen om het onderwijs gemakkelijker te laten verlopen."
00:06:55:95,00:07:07:67,Maurice Vanderfeesten,"Dat zijn mooi twee zinnen, precies, afgemeten. Op een bepaald moment beantwoord je meteen de vraag : waarom is dat nodig vanuit de bibliotheek?"
00:07:11:41,00:07:12:94,Cees van Gent,Wil je dat ik ze beantwoord?
00:07:12:94,00:07:16:50,Maurice Vanderfeesten,"Ja, geef maar een antwoord erop. Dat vind ik interessant."
00:07:16:50,00:07:56:55,Cees van Gent,"De bibliotheek is de instantie, de instelling die content in de breedste zin beheert. Dat doet ze al 2.000, 3.000 jaar, zolang als bibliotheken bestaan natuurlijk. Ze verzamelen het, ze organiseren het, ze zetten het op een goede plek neer, ze meten en dateren het en ze zorgen dat het terug vindbaar is. Het is beter dat de bibliotheek dat doet, omdat die over het algemeen in staat is om dat op een brede wijze te organiseren, anders dan de individuele persoon."
00:07:57:98,00:08:05:17,Maurice Vanderfeesten,Wat vind jij er leuk aan om daar te werken? Het is geen sollicitatiegesprek.
