START,END,SPEAKER,TEXT
00:00:00:50,00:00:14:86,Maurice Vanderfeesten,"Welkom bij UB 2030, de podcast over de universiteitsbibliotheek die moet innoveren vanwege de snel veranderende technologische ontwikkelingen en de veranderingen in het landschap binnen onderzoek en onderwijs. Ik ben Maurice Vanderfeesten."
00:00:14:98,00:00:20:93,David Oldenhof-Boks,Ik ben David Oldenhof-Boks en vandaag gaan we praten over de toekomst van bijzondere collecties in universiteitsbibliotheken.
00:00:20:95,00:00:34:70,Maurice Vanderfeesten,Hoe ziet het ideale plaatje voor bijzondere collecties eruit in 2030? Wat zijn de factoren die verandering teweegbrengen vandaag de dag? Wat als de erfenis uit het verleden de verandering moeilijk maakt? Wat is er nodig om daar juist te komen?
00:00:34:70,00:00:40:95,David Oldenhof-Boks,"Dit bespreken we met onze gasten Michiel Cock, hoofd Bijzondere Collecties bij de universiteitsbibliotheek aan de VU."
00:00:40:95,00:00:48:79,Maurice Vanderfeesten,"En August den Hollander, hoogleraar Religieus Erfgoed aan de VU."
00:00:48:97,00:00:53:27,David Oldenhof-Boks,"Om te beginnen met August, op welke manier houd jij je met erfgoed bezig in je werk?"
00:00:54:84,00:01:33:01,August den Hollander,"Dat is een brede vraag. Ik houd me vooral bezig met religieus erfgoed. Dat doe ik in mijn onderzoek en mijn onderwijs. Samen met de Reinwardt Academie in Amsterdam, waar alle mensen opgeleid worden die werkzaam gaan worden in de erfgoed- en culturele sector, hebben we een gezamenlijke minor religieus erfgoed. Ook in mijn ander onderwijs houd ik mij vooral bezig met dat erfgoed. In musea, maar ook erfgoed hier. Dus op die manier."
00:01:35:27,00:01:37:66,David Oldenhof-Boks,Wat versta je onder erfgoed?
00:01:43:70,00:02:35:91,August den Hollander,"Erfgoed is vooral een dynamisch begrip. Wat erfgoed is, bepalen we natuurlijk met elkaar en dat verandert voortdurend. Erfgoed wordt elke dag nog gemaakt. Ik was afgelopen week met mijn studenten in de Bijlmer bij Imagine IC, waar erfgoed tentoongesteld en verzameld wordt specifiek over de Bijlmer. Religieus erfgoed wisselt voortdurend. Daar zie je hoe vandaag de dag erfgoed gevormd wordt."
00:02:40:08,00:02:47:22,Maurice Vanderfeesten,"Als we het hebben over bijzondere collecties, wat is de verhouding daarmee? Wat zijn eigenlijk bijzondere collecties?"
00:02:48:07,00:03:46:08,Michiel Cock,"Ook dat is weer een goede, brede vraag. Het is misschien het makkelijkst om te zeggen wat voor soort collecties wij hier verstaan onder onze bijzondere collecties. Dat zijn onze oude drukken en handschriften, kaarten, archieven, objecten van academisch erfgoed en kunst. Het is één van de dingen die de VU tot de VU maakt. Het is gezichtsbepalend en veel ervan is erfgoed als je dat begrijpt als: dingen die wij uit het verleden hebben gekregen. Kunst bijvoorbeeld, is ook gewoon moderne kunst. Dat zijn juist dingen die we door willen geven aan de toekomst. Het zijn eigenlijk altijd unieke objecten of een unieke collectie. Dan is de samenstelling van het geheel uniek. Het zijn dingen die je blik openen en niet vanzelfsprekend zijn."
00:03:46:08,00:04:13:14,Michiel Cock,"Niet vanzelfsprekend dat het er is en niet vanzelfsprekend hoe goed je ervoor moet zorgen, want het vergt veel aandacht om het goed te bewaren en te ontsluiten. De objecten zelf zijn ook niet vanzelfsprekend. Van veel van die dingen zul je - als je ze in eerste instantie ziet - niet meteen denken: daarom is dit nu interessant. Het vergt vaak een extra stap."
00:04:13:57,00:04:14:44,Maurice Vanderfeesten,Zou je een voorbeeld kunnen noemen?
00:04:18:25,00:04:30:32,Michiel Cock,Bij veel kunst heb je een verhaal nodig om het goed te begrijpen of te ervaren. Ook met archiefstukken.
00:04:30:86,00:04:32:07,Maurice Vanderfeesten,Zoals de klapschaats?
